RebelLaser.wav			70 2000 ; 000__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 000__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 000__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 000__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 000__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 000__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 000__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 000__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 000__1_0 - IonCannonStarship
unused ; 000__1_0 - unused
RebelLaser.wav			70 2000 ; 001_0_0_Xwing - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 001_0_0_Xwing - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 001_0_0_Xwing - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 001_0_0_Xwing - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 001_0_0_Xwing - IonCannon
IonCannonTurbo.wav		75 2800 ; 001_0_0_Xwing - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 001_0_0_Xwing - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 001_0_0_Xwing - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 001_0_0_Xwing - IonCannonStarship
unused ; 001_0_0_Xwing - unused
RebelLaser.wav			70 2000 ; 002_0_1_Ywing - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 002_0_1_Ywing - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 002_0_1_Ywing - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 002_0_1_Ywing - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 002_0_1_Ywing - IonCannon
IonCannonTurbo.wav		75 2800 ; 002_0_1_Ywing - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 002_0_1_Ywing - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 002_0_1_Ywing - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 002_0_1_Ywing - IonCannonStarship
unused ; 002_0_1_Ywing - unused
RebelLaser.wav			70 2000 ; 003_0_2_Awing - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 003_0_2_Awing - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 003_0_2_Awing - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 003_0_2_Awing - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 003_0_2_Awing - IonCannon
IonCannonTurbo.wav		75 2800 ; 003_0_2_Awing - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 003_0_2_Awing - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 003_0_2_Awing - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 003_0_2_Awing - IonCannonStarship
unused ; 003_0_2_Awing - unused
RebelLaser.wav			70 2000 ; 004_0_3_Bwing - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 004_0_3_Bwing - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 004_0_3_Bwing - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 004_0_3_Bwing - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 004_0_3_Bwing - IonCannon
IonCannonTurbo.wav		75 2800 ; 004_0_3_Bwing - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 004_0_3_Bwing - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 004_0_3_Bwing - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 004_0_3_Bwing - IonCannonStarship
unused ; 004_0_3_Bwing - unused
EmpireLaserChChChhh.wav		70 2800 ; 005_0_4_TieFighter - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 005_0_4_TieFighter - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 005_0_4_TieFighter - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 005_0_4_TieFighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 005_0_4_TieFighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 005_0_4_TieFighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 005_0_4_TieFighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 005_0_4_TieFighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 005_0_4_TieFighter - IonCannonStarship
unused ; 005_0_4_TieFighter - unused
EmpireLaserChChChhh.wav		70 2800 ; 006_0_5_TieInterceptor - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 006_0_5_TieInterceptor - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 006_0_5_TieInterceptor - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 006_0_5_TieInterceptor - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 006_0_5_TieInterceptor - IonCannon
IonCannonTurbo.wav		75 2800 ; 006_0_5_TieInterceptor - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 006_0_5_TieInterceptor - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 006_0_5_TieInterceptor - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 006_0_5_TieInterceptor - IonCannonStarship
unused ; 006_0_5_TieInterceptor - unused
EmpireLaserChChChhh.wav		70 2800 ; 007_0_6_TieBomber - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 007_0_6_TieBomber - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 007_0_6_TieBomber - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 007_0_6_TieBomber - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 007_0_6_TieBomber - IonCannon
IonCannonTurbo.wav		75 2800 ; 007_0_6_TieBomber - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 007_0_6_TieBomber - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 007_0_6_TieBomber - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 007_0_6_TieBomber - IonCannonStarship
unused ; 007_0_6_TieBomber - unused
EmpireLaserChChChhh.wav		70 2800 ; 008_0_7_TieAdvanced - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 008_0_7_TieAdvanced - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 008_0_7_TieAdvanced - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 008_0_7_TieAdvanced - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 008_0_7_TieAdvanced - IonCannon
IonCannonTurbo.wav		75 2800 ; 008_0_7_TieAdvanced - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 008_0_7_TieAdvanced - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 008_0_7_TieAdvanced - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 008_0_7_TieAdvanced - IonCannonStarship
unused ; 008_0_7_TieAdvanced - unused
EmpireLaserChChChhh.wav		70 2800 ; 009_0_8_TieDefender - RebelLaser
