LandingGearUp.wav		100 2000 ; 000__1_0
LandingGearUp.wav		100 2000 ; 001_0_0_Xwing
LandingGearUp.wav		100 2000 ; 002_0_1_Ywing
LandingGearUp.wav		100 2000 ; 003_0_2_Awing
LandingGearUp.wav		100 2000 ; 004_0_3_Bwing
LandingGearUp.wav		100 2000 ; 005_0_4_TieFighter
LandingGearUp.wav		100 2000 ; 006_0_5_TieInterceptor
LandingGearUp.wav		100 2000 ; 007_0_6_TieBomber
LandingGearUp.wav		100 2000 ; 008_0_7_TieAdvanced
LandingGearUp.wav		100 2000 ; 009_0_8_TieDefender
LandingGearUp.wav		100 2000 ; 010_0_9_IrdFighter
LandingGearUp.wav		100 2000 ; 011_0_10_ToscanFighter
LandingGearUp.wav		100 2000 ; 012_0_11_MissileBoat
LandingGearUp.wav		100 2000 ; 013_0_12_Twing
LandingGearUp.wav		100 2000 ; 014_0_13_Z_95
LandingGearUp.wav		100 2000 ; 015_0_14_R41
LandingGearUp.wav		100 2000 ; 016_0_15_AssaultGunboat
LandingGearUp.wav		100 2000 ; 017_0_16_SkiprayBlastBoat
LandingGearUp.wav		100 2000 ; 018_0_17_TieBizarro
LandingGearUp.wav		100 2000 ; 019_0_18_TieBigGun
LandingGearUp.wav		100 2000 ; 020_0_19_TieWarheads
LandingGearUp.wav		100 2000 ; 021_0_20_TieBomb
LandingGearUp.wav		100 2000 ; 022_0_21_TieBooster
LandingGearUp.wav		100 2000 ; 023_0_22_CloakshapeFighter
LandingGearUp.wav		100 2000 ; 024_0_23_RazorFighter
LandingGearUp.wav		100 2000 ; 025_0_24_PlanetaryFighter
LandingGearUp.wav		100 2000 ; 026_0_25_SupaFighter
LandingGearUp.wav		100 2000 ; 027_0_26_Piggyback
LandingGearUp.wav		100 2000 ; 028_0_27_Booster
LandingGearUp.wav		100 2000 ; 029_0_28_PreybirdFighter
LandingGearUp.wav		100 2000 ; 030_0_29_Xwing
LandingGearUp.wav		100 2000 ; 031_0_30_SlaveOne
LandingGearUp.wav		100 2000 ; 032_0_31_SlaveTwo
LandingGearUp.wav		100 2000 ; 033__1_0
LandingGearUp.wav		100 2000 ; 034__1_0
LandingGearUp.wav		100 2000 ; 035__1_0
LandingGearUp.wav		100 2000 ; 036__1_0
LandingGearUp.wav		100 2000 ; 037__1_0
LandingGearUp.wav		100 2000 ; 038__1_0
LandingGearUp.wav		100 2000 ; 039__1_0
LandingGearUp.wav		100 2000 ; 040__1_0
LandingGearUp.wav		100 2000 ; 041__1_0
LandingGearUp.wav		100 2000 ; 042__1_0
LandingGearUp.wav		100 2000 ; 043_0_32_Tug
LandingGearUp.wav		100 2000 ; 044_0_33_CombatUtilityVehicle
LandingGearUp.wav		100 2000 ; 045_0_34_HeavyLifter
LandingGearUp.wav		100 2000 ; 046_0_35_MoleMiner
LandingGearUp.wav		100 2000 ; 047_0_36_EscapePod
LandingGearUp.wav		100 2000 ; 048_0_153_EscapePodA
LandingGearUp.wav		100 2000 ; 049__1_0
LandingGearUp.wav		100 2000 ; 050_0_37_Shuttle
LandingGearUp.wav		100 2000 ; 051_0_38_EscortShuttle
LandingGearUp.wav		100 2000 ; 052_0_39_StormtrooperTransport
LandingGearUp.wav		100 2000 ; 053_0_40_AssaultTransport
LandingGearUp.wav		100 2000 ; 054_0_41_EscortTransport
LandingGearUp.wav		100 2000 ; 055_0_42_SystemPatrolCraft
LandingGearUp.wav		100 2000 ; 056_0_43_ScoutCraft
LandingGearUp.wav		100 2000 ; 057_0_44_MuurianTransport
MfTakeOff.wav			120 2000 ; 058_0_45_CorellianTransport2
MfTakeOff.wav			120 2000 ; 059_0_46_MilleniumFalcon2
LandingGearUp.wav		100 2000 ; 060_0_47_Outrider
LandingGearUp.wav		100 2000 ; 061_0_48_ImpLandingCraft
LandingGearUp.wav		100 2000 ; 062_0_49_AssaultShuttle
LandingGearUp.wav		100 2000 ; 063_0_50_LuxuryYacht
LandingGearUp.wav		100 2000 ; 064_0_51_FerryboatLiner
MfTakeOff.wav			120 2000 ; 065_0_52_FamilyTransport
LandingGearUp.wav		100 2000 ; 066__1_0
LandingGearUp.wav		100 2000 ; 067__1_0
LandingGearUp.wav		100 2000 ; 068__1_0
LandingGearUp.wav		100 2000 ; 069__1_0
LandingGearUp.wav		100 2000 ; 070__1_0
LandingGearUp.wav		100 2000 ; 071_0_53_ContainerBrick
LandingGearUp.wav		100 2000 ; 072_0_54_ContainerHexBox
LandingGearUp.wav		100 2000 ; 073_0_55_ContainerTube
LandingGearUp.wav		100 2000 ; 074_0_56_ContainerPronged
LandingGearUp.wav		100 2000 ; 075_0_57_ContainerHemisphere
LandingGearUp.wav		100 2000 ; 076_0_58_ContainerSlotted
LandingGearUp.wav		100 2000 ; 077_0_59_ContainerHourglass
LandingGearUp.wav		100 2000 ; 078_0_60_ContainerGem
LandingGearUp.wav		100 2000 ; 079_0_61_ContainerYshaped
LandingGearUp.wav		100 2000 ; 080_0_62_CargoCanister
LandingGearUp.wav		100 2000 ; 081_0_63_PropaneTank
LandingGearUp.wav		100 2000 ; 082_0_64_ContainerGrande
LandingGearUp.wav		100 2000 ; 083_0_65_ContainerBox
LandingGearUp.wav		100 2000 ; 084_0_66_ContainerSphere
LandingGearUp.wav		100 2000 ; 085_0_67_ContainerHanger
LandingGearUp.wav		100 2000 ; 086__1_0
LandingGearUp.wav		100 2000 ; 087__1_0
LandingGearUp.wav		100 2000 ; 088__1_0
LandingGearUp.wav		100 2000 ; 089__1_0
LandingGearUp.wav		100 2000 ; 090__1_0
LandingGearUp.wav		100 2000 ; 091_0_68_BulkFreighter
LandingGearUp.wav		100 2000 ; 092_0_69_CargoFerry
LandingGearUp.wav		100 2000 ; 093_0_70_ModularConveyor
LandingGearUp.wav		100 2000 ; 094_0_71_ContainerTransport
LandingGearUp.wav		100 2000 ; 095_0_72_TunaBoat2
LandingGearUp.wav		100 2000 ; 096_0_73_StarGalleon
LandingGearUp.wav		100 2000 ; 097_0_74_ModActionTransport
LandingGearUp.wav		100 2000 ; 098_0_75_MobquetTransport
LandingGearUp.wav		100 2000 ; 099_0_76_XiytiarTransport
LandingGearUp.wav		100 2000 ; 100_0_77_FreighterConB
LandingGearUp.wav		100 2000 ; 101_0_78_FreighterConG
LandingGearUp.wav		100 2000 ; 102_0_79_FreighterBox
LandingGearUp.wav		100 2000 ; 103_0_0_Xwing
LandingGearUp.wav		100 2000 ; 104_0_0_Xwing
LandingGearUp.wav		100 2000 ; 105_0_136_CrewCabinFront
LandingGearUp.wav		100 2000 ; 106_0_137_ConnectorRod
LandingGearUp.wav		100 2000 ; 107_0_138_EngineBack
LandingGearUp.wav		100 2000 ; 108_0_0_Xwing
LandingGearUp.wav		100 2000 ; 109_0_0_Xwing
LandingGearUp.wav		100 2000 ; 110_0_139_EngineFront
LandingGearUp.wav		100 2000 ; 111_0_140_CrewCabinBack
LandingGearUp.wav		100 2000 ; 112_0_0_Xwing
LandingGearUp.wav		100 2000 ; 113_0_0_Xwing
